col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
      1, IC5376, IC5376,   0.33240,  34.52570,  0.01680,   66.560, 8.86E+05, 6.04E+05,  0.01672,       1,       1
      2, UGC00005, UGC00005,   0.77350,  -1.91380,  0.02430,   48.340, 1.01E+06, 1.20E+06,  0.02438,       1,       1
      3, NGC7819, NGC7819,   1.10210,  31.47200,  0.01670,   52.940, 4.29E+05, 2.92E+05,  0.01660,       1,       1
      4, UGC00029, UGC00029,   1.14060,  28.30170,  0.02930,   45.280, 1.44E+06, 1.58E+06,  0.02934,       1,       0
      5, IC1528, IC1528,   1.27240,  -7.09340,  0.01280,   63.630, 3.39E+05, 2.06E+05,  0.01265,       1,       1
      6, NGC7824, NGC7824,   1.27600,   6.92010,  0.02040,   55.160, 9.00E+05, 7.61E+05,  0.02021,       1,       0
      7, UGC00036, UGC00036,   1.30780,   6.77200,  0.02090,   50.980, 7.59E+05, 7.23E+05,  0.02079,       1,       1
      8, NGC0001, NGC0001,   1.81610,  27.70810,  0.01510,   51.980, 3.04E+05, 2.03E+05,  0.01511,       1,       1
      9, NGC0023, NGC0023,   2.47260,  25.92380,  0.01520,   59.280, 4.62E+05, 3.09E+05,  0.01571,       1,       0
     10, NGC0036, NGC0036,   2.84290,   6.38940,  0.02030,   59.720, 1.13E+06, 9.23E+05,  0.01992,       1,       1
     11, UGC00139, UGC00139,   3.63280,  -0.73760,  0.01320,   65.150, 3.99E+05, 2.48E+05,  0.01338,       1,       0
     12, UGC00148, UGC00148,   3.96370,  16.08980,  0.01400,   58.550, 3.44E+05, 2.23E+05,  0.01382,       1,       0
     13, MCG-02-02-030, MCG-02-02-030,   7.53050, -11.11360,  0.01180,   54.550, 1.65E+05, 9.51E+04,  0.01177,       1,       1
     14, UGC00312, UGC00312,   7.84970,   8.46670,  0.01450,   45.630, 1.79E+05, 1.18E+05,  0.01436,       1,       1
     15, ESO539-G014, ESO539-G014,   7.86750, -19.76150,  0.02360,   61.350, 1.42E+06, 1.72E+06,  0.02346,       1,       0
     16, MCG-02-02-040, MCG-02-02-040,   7.89910, -10.50640,  0.01180,   45.450, 9.44E+04, 5.44E+04,  0.01191,       1,       0
     17, UGC00335NED02, UGC00335NED02,   8.48880,   7.26830,  0.01820,   46.660, 3.83E+05, 2.65E+05,  0.01817,       1,       1
     18, NGC0155, NGC0155,   8.66700, -10.76650,  0.02070,   46.210, 5.38E+05, 4.79E+05,  0.02052,       1,       1
     19, ESO540-G003, ESO540-G003,   8.91460, -20.12540,  0.01110,   61.700, 2.02E+05, 1.16E+05,  0.01107,       1,       0
     20, NGC0160, NGC0160,   9.01710,  23.95790,  0.01750,   77.820, 1.49E+06, 1.02E+06,  0.01752,       1,       0
     21, NGC0165, NGC0165,   9.12050, -10.10620,  0.01960,   45.970, 4.55E+05, 3.36E+05,  0.01958,       1,       0
     22, NGC0169, NGC0169,   9.21500,  23.99100,  0.01540,   50.390, 2.93E+05, 1.97E+05,  0.01525,       1,       1
     23, NGC0171, NGC0171,   9.33980, -19.93420,  0.01310,   56.210, 2.50E+05, 1.55E+05,  0.01283,       1,       1
     24, NGC0177, NGC0177,   9.39310, -22.54920,  0.01280,   67.730, 4.14E+05, 2.52E+05,  0.01252,       1,       0
